StockCode,Description,ReturnRate,TotalUnits
21594,Dr. Jam's Arouzer Stress Ball,0.0,6.0
21749,LARGE RED SPOT WINDMILL,0.0041,2957.0
21845,DAIRY MAID STRIPE MUG,0.0246,2604.0
35638B,PINK/BLUE STRING CURTAIN,0.0,118.0
17013B,ORIGAMI JASMINE INCENSE IN TUBE,0.0,256.0
17013D,ORIGAMI ROSE INCENSE IN TUBE,0.0009,1070.0
17014A,ORIGAMI VANILLA INCENSE CONES,0.0,277.0
84086C,PINK/PURPLE RETRO RADIO,0.0,305.0
84596J,MIXED NUTS LIGHT GREEN BOWL,0.0073,822.0
84760S,SMALL HANGING GLASS+ZINC LANTERN,0.0,240.0
84877D,BLUE ROUND COMPACT MIRROR,0.0,167.0
84913A,SOFT PINK ROSE TOWEL,0.0,629.0
85188A,GREEN METAL SWINGING BUNNY,0.0278,972.0
90013E,AMBER VINTAGE EARRINGS,0.0,2.0
90041,PEARL AND CHERRY QUARTZ BRACLET,0.0,7.0
90059C,DIAMANTE HAIR GRIP PACK/2 MONTANA,0.125,48.0
90059E,DIAMANTE HAIR GRIP PACK/2 RUBY,0.0952,63.0
90101,WHITE FRANGIPANI NECKLACE,0.1017,59.0
90175B,PINK GLASS CHUNKY CHARM BRACELET,0.0513,39.0
90205A,LARGE MINT DIAMANTE HAIRSLIDE,0.0,42.0
90205C,LARGE CRYSTAL DIAMANTE HAIRSLIDE,0.0,78.0
90209B,GREEN ENAMEL+GLASS HAIR COMB,0.0,390.0
DCGS0003,BOXED GLASS ASHTRAY,0.0,13.0
90202C,GREEN ENAMEL FLOWER HAIR TIE,0.1579,38.0
84976,RECTANGULAR SHAPED MIRROR,0.0203,689.0
90024D,NEW BAROQUE B'FLY NECKLACE PINK,0.0,15.0
90030A,SPOTTED WHITE NATURAL SEED NECKLACE,0.0,79.0
90030B,RED KUKUI COCONUT SEED NECKLACE,0.0,140.0
90030C,BROWN KUKUI COCONUT SEED NECKLACE,0.0,88.0
90163B,WHITE ROSEBUD & PEARL NECKLACE,0.0,13.0
90169,DAISY HAIR COMB,0.125,48.0
90173,PAIR BUTTERFLY HAIR CLIPS,0.0111,90.0
47310M,"SMALL POP BOX,FUNKY MONKEY",0.0,489.0
47574A,ENGLISH ROSE SCENTED HANGING FLOWER,0.0034,580.0
22306,SILVER MUG BONE CHINA TREE OF LIFE,0.0098,1727.0
21383,PACK OF 12 STICKY BUNNIES,0.027,2295.0
71215,METAL BASE FOR CANDLES,0.0,178.0
22244,"HOOK, 3 HANGER ,MAGIC GARDEN",0.0206,2085.0
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",0.0069,4750.0
84869,CANDY BUTTON PHOTO ALBUM,0.0,302.0
20896,VINTAGE NOTEBOOK PINK FLOWER,0.0,40.0
20899,VINTAGE NOTEBOOK RED ROSE,0.0,44.0
84626,CANDY STRIPE ROSE QUILT,0.0,1.0
16162L,THE KING GIFT BAG,0.3161,11845.0
21228,"POCKET MIRROR ""GLAMOROUS""",0.0,97.0
90120B,BLUE MURANO TWIST BRACELET,0.0,108.0
90027B,GLASS BEAD HOOP EARRINGS MONTANA,0.0,13.0
20796,SMALL BLUE PROVENCAL CERAMIC BALL,0.0,99.0
20795,LARGE BLUE PROVENCAL CERAMIC BALL,0.0493,142.0
21322,GLASS SPHERE CANDLE STAND LARGE,0.0,301.0
22290,STANDING METAL RABBIT WITH EGG,0.0015,689.0
21631,HIPPY CHIC DECORATIVE PARASOL,0.0,221.0
84972L,GIANT PINK HEART MEMO HOLDER,0.0,117.0
84919,L BLUE C/COVER W PINK/YELLOW FLOWER,0.0,8.0
84984C,ORIENTAL BLUE C/COVER,0.0,13.0
84909A,PINK PAISLEY QUILT,0.0,209.0
85184B,SET 4 EASTER DECOUPAGE OVAL BOXES,0.0667,15.0
22233,JIGSAW RABBIT AND BIRDHOUSE,0.0721,1027.0
85018C,S/6 PAPER BOXES CURIOUS IMAGES,0.0,36.0
21343,GOLD JEWELERY BOX,0.0909,22.0
22316,200 BENDY SKULL STRAWS,0.0008,1274.0
35973,GERANIUM FOLKART HEART DECORATION,0.0,51.0
90057,DIAMANTE RING ASSORTED IN BOX.,0.0,1804.0
35838B,S/6 SILVER ORNAMENETAL CANDLE,0.0,100.0
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.0,1713.0
22217,T-LIGHT HOLDER HANGING LACE,0.0229,2450.0
35645,VINTAGE BEAD PINK JEWEL BOX,0.0,61.0
82095,HEART BUTTONS JEWELLERY BOX,0.0,102.0
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,0.0,33.0
47341B,BLUE TABLE RUN FLOWER,0.0,48.0
85081,PADDED HOLLY CHRISTMAS DECORATION,0.0,107.0
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,0.0,87.0
90214O,"LETTER ""O"" BLING KEY RING",0.0,37.0
90214B,"LETTER ""B"" BLING KEY RING",0.0,80.0
84575B,BROWN DOG CANNISTER W BONE,0.0,4.0
35821B,"JEWELLED DECORATION,BLUE",0.0,150.0
35824B,"HANGING FLOWERS+MIRROR,BLUE",0.0,528.0
35610C,WHITE CHRISTMAS FLOCK DROPLET,0.0,94.0
21850,BLUE  DIAMANTE PEN IN GIFT BOX,0.0726,496.0
21858,HIGH SCHOOL MUSICAL 3 TOP TRUMPS,0.0,2.0
20932,PINK POT PLANT CANDLE,0.0484,351.0
85110,BLACK SILVER FLOWER T-LIGHT HOLDER,0.3043,16560.0
85160A,WHITE BIRD GARDEN DESIGN MUG,0.3287,13144.0
90039C,FIRE POLISHED GLASS BRACELET BLACK,0.0,24.0
90186B,CRYSTAL HOOP EARRING FLORAL LEAF,0.0,58.0
72771B,BURG FLOCK GOLD CUP/CANDLE,0.0,129.0
84450B,YELLOW RABBIT SAT EASTER,0.0,51.0
46776C,WOVEN FROST CUSHION COVER,0.0,260.0
22236,CAKE STAND 3 TIER MAGIC GARDEN,0.0769,1236.0
21366,MIRRORED WALL ART PHOTO FRAMES,0.0,247.0
90214Z,"LETTER ""Z"" BLING KEY RING",0.0,32.0
16168S,FUNKY MONKEY GIFT BAG SMALL,0.0,1283.0
21167,WHITE SAGE INCENSE,0.0196,2545.0
47597,NEW ENGLAND TEATOWELS,0.0,322.0
35837,SET OF SIX SILVER+RED FLOCK BAUBLES,0.0,2.0
85230D,VANILLA SCENTED VOTIVE CANDLE,0.0,24.0
85230C,ROSE SCENTED VOTIVE CANDLE,0.0,24.0
20680,PINK FLOWERS CHILDS UMBRELLA,0.0,6.0
21096,SET/6 FRUIT SALAD  PAPER PLATES,0.3056,22932.0
20952,PORCELAIN CHERUB BELL SMALL,0.4407,590.0
90214F,"LETTER ""F"" BLING KEY RING",0.0,47.0
85161,ACRYLIC GEOMETRIC LAMP,0.0377,53.0
90058A,CRYSTAL STUD EARRINGS CLEAR DISPLAY,0.0588,612.0
72789,BASKET/8 SCENTED LOVE TOKEN CANDLES,0.0758,132.0
90210B,CLEAR ACRYLIC FACETED BANGLE,0.0,106.0
90194,SILVER LARIAT BLACK STONE EARRINGS,0.0,33.0
72708,SCULPTED ROUND IVORY CANDLE,0.0,44.0
16169G,WRAP ROMANTIC DECOUPAGE,0.0,25.0
21117,BLOND DOLL DOORSTOP,0.0,334.0
85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,0.0022,4058.0
20663,QUEEN OF THE SKIES HOLIDAY PURSE,0.3186,1579.0
84414B,FUSCHIA/GREEN STRIPE WOOLLY BLANKET,0.0,78.0
16051,TEATIME PENCIL W STAMP ASST,0.0,941.0
85072,OCCASIONS GIFT CARD ASSORTMENT,0.0,120.0
90138,WHITE/PINK MINI CRYSTALS NECKLACE,0.0,25.0
90137,PINK COMBO MINI CRYSTALS NECKLACE,0.0,26.0
16119,FUNKY GIRL ADDRESS BOOK,0.0,273.0
47552A,DOTS IRONING BOARD COVER,0.1333,15.0
47567B,TEA TIME KITCHEN APRON,0.0059,2215.0
84815,SET OF 3 DANISH ROSE PLANTERS,0.0,930.0
72131,COLUMBIAN CANDLE RECTANGLE,0.0205,779.0
35631B,BLUE GREEN CHRISTMAS HANGING BALL,1.0,1.0
22252,BIRDCAGE DECORATION MAGIC GARDEN,0.0,21.0
72728,ROSE SCENT CANDLES IN GLASS,0.0,643.0
20884,MODERN CHRISTMAS TREE CANDLE,0.0,3.0
20877,MODERN CHRISTMAS BAUBLE CANDLE,0.0,12.0
20881,MODERN CHRISTMAS TREE CANDLE,0.0,3.0
22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",0.0023,3008.0
90177C,DROP DIAMANTE EARRINGS CRYSTAL,0.1304,46.0
90177B,DROP DIAMANTE EARRINGS BLACK DIAMON,0.0,31.0
90177D,DROP DIAMANTE EARRINGS PURPLE,0.1111,54.0
90177E,DROP DIAMANTE EARRINGS GREEN,0.1714,35.0
90177A,CLASSIC DIAMANTE EARRINGS JET,0.24,25.0
90026C,GLASS BEAD HOOP NECKLACE GREEN,0.0,8.0
90069,RUBY GLASS CLUSTER NECKLACE,0.0,11.0
84876B,GREEN HEART COMPACT MIRROR,0.0,346.0
17090A,LAVENDER INCENSE 40 CONES IN TIN,0.0,215.0
85215,ASSORTED CHEESE FRIDGE MAGNETS,0.0,850.0
21758,VINTAGE SHELLS PRINT,0.0,138.0
20848,ZINC HEART LATTICE CHARGER SMALL,0.0,39.0
20683,RAIN GIRL CHILDS UMBRELLA,0.0,1.0
84859C,PINK DISCO HANDBAG,0.0,304.0
84859A,SILVER DISCO HANDBAG,0.0,293.0
75131,METAL TUBE CHIME ON BAMBOO,0.0,1220.0
85109,PINK BOUDOIR T-LIGHT HOLDER,0.3077,6083.0
84802A,WHITE ANEMONE ARTIFICIAL FLOWER,0.0,209.0
35607B,BLACK FEATHER CHRISTMAS DECORATION,0.0,312.0
21202,DOLLY HONEYCOMB GARLAND,0.0562,908.0
90001C,ANTIQUE OPAL WHITE FLOWER EARRINGS,0.0,12.0
79340P,PURPLE ORCHID FLOWER LIGHTS,1.0,2.0
35607A,PINK FLUFFY CHRISTMAS DECORATION,0.0,556.0
85218,S/5 MINI ICE CREAM FRIDGE MAGNETS,0.0015,1995.0
35001C,HAND OPEN SHAPE CHROME,1.0,3.0
16207B,PINK HEART RED HANDBAG,0.0,265.0
35936,CERISE+GOLD CHRISTMAS TREE DEC,0.0,36.0
20939,ORANGE CANDLE,0.0,12.0
72785A,S/4 CONTEMPORY PINK ROSEBUD CANDLES,0.0,8.0
72785B,S/4 CONTEMPORY RED ROSEBUD CANDLES,0.0,9.0
21766,VINTAGE WOOD ORGANISER,1.0,2.0
21686,MEDINA STAMPED METAL STOOL,0.0959,73.0
84689,S/2 BEACH HUT TREASURE CHESTS,0.0517,329.0
84550,CROCHET LILAC/RED BEAR KEYRING,0.0,15.0
21226,POCKET MIRROR WOODLAND,0.0,216.0
21225,POCKET MIRROR BUTTERFLY,0.0,2.0
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.0009,1081.0
37491C,GREEN/BLUE CERAMIC CANDLE HOLDER,0.0,59.0
75011,BLUE DAISY MOBILE,0.0,181.0
72801C,S/4 ROSE PINK DINNER CANDLES,0.0591,203.0
46775E,CANDY POP CHUNKY KNITTED THROW,0.0,101.0
35911B,PINK/FLOWER RABBIT EGG WARMER,0.0,159.0
62097A,PINK STRIPES SHOULDER BAG,0.0,3.0
72812,LARGE ZINC/GLASS CANDLEHOLDER,0.0,27.0
21473,SWEETHEART CREAM STEEL TABLE RECT,0.0248,161.0
90000C,OPAL WHITE/SILVER FLOWER NECKLACE,0.0,2.0
90065B,BLACK VINT ART DEC CRYSTAL BRACELET,0.0,24.0
90182C,BLACK 3 BEAD DROP EARRINGS,0.24,25.0
90026B,GLASS BEAD HOOP NECKLACE MONTANA,0.0,8.0
90212C,PURPLE LAS VEGAS BRACELET ROUND,0.0,18.0
21317,GLASS SPHERE CANDLE STAND MEDIUM,0.0083,363.0
62074B,ELEPHANT CLIP W SUCTION CUP,0.0,38.0
84876C,SILVER HEART COMPACT MIRROR,0.1111,9.0
35999,S/6 SCANDINAVIAN HEART T-LIGHT,0.0,1.0
90201A,PURPLE ENAMEL FLOWER RING,0.0299,134.0
20697,LITTLE GREEN MONSTER SOFT TOY,0.0,44.0
17090D,VANILLA INCENSE 40 CONES IN TIN,0.0,95.0
85230A,OPIUM SCENTED VOTIVE CANDLE,0.0,1992.0
72133,COLUMBIAN CANDLE RECTANGLE,0.0,116.0
72134,COLUMBIAN  CUBE CANDLE,0.0,340.0
72130,COLUMBIAN CANDLE ROUND,0.0,814.0
37489A,YELLOW/PINK FLOWER DESIGN BIG MUG,0.0,48.0
85225,BLING KEY RING STAND,0.0,19.0
21441,BLUE BIRDHOUSE DECORATION,0.0,941.0
84711A,SILVER OVAL SHAPE TRINKET BOX,0.0,44.0
90140,PINK SWEETIE NECKLACE,0.0,10.0
90146,FINE SILVER NECKLACE W PASTEL FLOWE,0.0465,43.0
90123A,PINK HEART OF GLASS BRACELET,0.0,37.0
90060B,FIRE POLISHED GLASS NECKL GOLD,0.0,7.0
22243,"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",0.0165,3209.0
47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,0.0,58.0
72772,SET/4 SCENTED CANDLES IN RAMEKINS,0.0,457.0
35910A,MULTICOLOUR EASTER RABBIT,0.0,53.0
21716,BOYS VINTAGE TIN SEASIDE BUCKET,0.0027,3760.0
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,0.0092,3597.0
37438,FUNKY FLOWER COFFEE POT,0.0,2.0
46775D,SUNSET COLOUR CHUNKY KNITTED THROW,0.0253,158.0
84921,CREAM AND PINK FLOWERS PONY,0.0,31.0
22360,"GLASS JAR, ENGLISH CONFECTIONERY",0.5,4.0
21190,PINK HEARTS PAPER GARLAND,0.0774,995.0
22247,BUNNY DECORATION MAGIC GARDEN,0.0008,1191.0
22249,DECORATION WHITE CHICK MAGIC GARDEN,0.0024,1658.0
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,0.0026,1533.0
85213,MINI  ZINC GARDEN DECORATIONS,0.0007,1392.0
71101A,ANGEL ON KNEES METAL POLE 100CM H,0.0,6.0
71101E,STANDING FAIRY POLE SUPPORT,0.0038,782.0
20882,MODERN CHRISTMAS TREE CANDLE,0.0,3.0
15030,FAN BLACK FRAME,0.0,254.0
72793,BLACK BOX MIRROR LANTERN,0.0179,56.0
35637A,IVORY STRING CURTAIN WITH POLE,0.0018,553.0
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,0.0765,183.0
21416,CLAM SHELL LARGE,0.0,753.0
22268,EASTER DECORATION SITTING BUNNY,0.0128,1096.0
35597B,BLACKCHRISTMAS TREE 30CM,0.0,79.0
84255A,PINK GLASS COCKTAIL LAMP,0.0,2.0
21318,GLASS CHALICE BLUE SMALL,0.0318,1006.0
18098B,BLUE PORCELAIN B'FLY OIL BURNER,0.0,3.0
37399,"ASS RETROSPOOF MUGS,SPORTS",0.0,143.0
TEST001,This is a test product.,0.0909,55.0
37475,SET/4 COLOURFUL MIXING BOWLS,0.0,117.0
21036,SET/2 TEA TOWELS MODERN VINTAGE,0.0,1.0
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,0.0,46.0
84621,BLUE GINGHAM ROSE FLOOR CUSHION,0.0,29.0
84251C,"GREETING CARD, TWO SISTERS.",0.0,259.0
22021,BLUE FELT EASTER EGG BASKET,0.0083,1451.0
85206B,PINK FELT EASTER EGG BASKET,0.009,1557.0
90129A,PINK GLASS TASSLE BAG CHARM,0.0,156.0
35001P,HAND OPEN SHAPE PINK,0.3333,3.0
84824,DANISH ROSE UMBRELLA STAND,0.0256,39.0
44234,ASSORTED CIRCULAR MOBILE,0.0016,1248.0
18098A,PINK PORCELAIN B'FLY OIL BURNER,0.0,2.0
20858,SILVER PURSE GOLD PINK BUTTERFLY,0.0,4.0
21298,EDWARDIAN 2 DRAWER WALL CABINET,0.1034,58.0
72750B,"F.FAIRY S/3 CANDLE/GLASS,LAVENDER",0.0,193.0
35980C,REDWHITE STRIPE SCANDINAVIAN HEART,0.1028,428.0
21750,LARGE SKULL WINDMILL,0.0032,314.0
17038,PORCELAIN BUDAH INCENSE HOLDER,0.0,2659.0
21406,SPOTTY CAT DOORSTOP,0.0,1.0
21919,Electronic Talking Breath-A-Loser,0.0,6.0
35818C,"ACRYLIC JEWEL ICICLE, CLEAR",0.0,1.0
48175,DOOR MAT CAMOUFLAGE,0.0,39.0
85091,CANDY SPOT BREAD BASKETS,0.0472,360.0
90018A,SILVER M.O.P ORBIT DROP EARRINGS,0.0125,80.0
90018C,SILVER BLACK ORBIT DROP EARRINGS,0.0345,29.0
90027C,GLASS BEAD HOOP EARRINGS GREEN,0.0,14.0
90038B,GLASS AND PAINTED BEADS BRACELET OL,0.0,21.0
90054,CRACKED GLAZE EARRINGS RED,0.0,19.0
90077,BLACK DIAMOND CLUSTER EARRINGS,0.0,6.0
90178B,PURPLE CHUNKY GLASS+BEAD NECKLACE,0.0,16.0
90198A,VINTAGE ROSE BEAD BRACELET RASPBERR,0.0,146.0
90211A,DIAMOND LAS VEGAS NECKLACE 45CM,0.0,31.0
DCGS0072,CAT CAMOUFLAGUE COLLAR,0.0,4.0
22188,BLACK HEART CARD HOLDER,0.0004,12489.0
47594A,CAROUSEL DESIGN WASHBAG,0.0647,371.0
79144C,PAINTED LIGHTBULB RAINBOW DESIGN,0.0,313.0
84856S,SMALL TAHITI BEACH BAG,0.0021,468.0
84870C,GREEN GEISHA GIRL,0.0,99.0
84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,0.0106,282.0
85167B,BLACK GRAND BAROQUE PHOTO FRAME,0.0,727.0
85169D,PINK LOVE BIRD CANDLE,0.0019,523.0
85190,PINK FLOWER HANGING HEART,0.0411,146.0
85202,HANGING WOOD AND FELT HEART,0.0192,1249.0
85204,HANGING WOOD AND FELT FLOWER,0.0004,2361.0
90037A,TINY CRYSTAL BRACELET RED,0.0,26.0
90037C,TINY CRYSTAL BRACELET BLUE,0.0,27.0
gift_0001_80,Dotcomgiftshop Gift Voucher £80.00,0.5,2.0
20821,GOLDIE LOOKING MIRROR,0.25,56.0
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,0.0,335.0
20846,ZINC HEART LATTICE T-LIGHT HOLDER,0.0,1471.0
21718,RED METAL BEACH SPADE,0.0127,4099.0
22137,BATHROOM SET LOVE HEART DESIGN,0.0049,610.0
35819B,"ACRYLIC HANGING JEWEL,BLUE",0.0,387.0
85160B,BLACK BIRD GARDEN DESIGN MUG,0.3263,9137.0
90143,SILVER BRACELET W PASTEL FLOWER,0.0879,91.0
21132,SILVER STANDING GNOME,0.0,98.0
22264,FELT FARM ANIMAL WHITE BUNNY,0.0,2036.0
45016,DECORATIVE NET CANOPY LEOPARD,0.0561,107.0
47367B,PAIR PADDED HANGERS PINK CHECK,0.004,247.0
47586A,PINK FAIRY CAKE CUSHION COVER,0.0,204.0
84637,KITCHEN FLOWER POTS WALL PLAQUE,0.0,586.0
84847,FLORAL BATHROOM SET,0.3237,3448.0
90122C,TURQUOISE CRYSTAL+GLASS BRACELET,0.0,54.0
90176C,DIAMANTE NECKLACE,0.1667,12.0
gift_0001_20,Dotcomgiftshop Gift Voucher £20.00,0.0,28.0
21702,SET 5 MINI GATEAUX  FRIDGE MAGNETS,0.0,2636.0
21699,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,0.0,108.0
48138,DOOR MAT UNION FLAG,0.0045,3797.0
84570B,WHITE SATIN DRESS JEWEL STAND,0.0,4.0
84782B,BLACK 3 TIER GLASS PLATE STAND,0.0,10.0
90082B,DIAMANTE BOW BROOCH RED COLOUR,0.0,68.0
90004A,JADE GREEN PAIR ENAMEL HAIR SLIDES,0.0,1.0
20664,TROPICAL HOLIDAY PURSE,0.0,57.0
85129B,BEADED CRYSTAL HEART GREEN SMALL,0.0,254.0
85030,FRENCH CHATEAU OVAL PLATTER,0.1125,240.0
85141,JARDIN ETCHED GLASS FRUITBOWL,0.0545,202.0
84595B,LARGE TRIFLE DESIGN L BLUE BOWL,0.0,230.0
84313A,PINK TV TRAY TABLE,0.0,38.0
21088,SET/6 FRUIT SALAD PAPER CUPS,0.3006,23755.0
85119,WATERING CAN SINGLE HOOK PISTACHIO,0.0372,430.0
35937,CERISE+GOLD CHRISTMAS STOCKING DEC,0.0,188.0
85094,CANDY SPOT EGG WARMER RABBIT,0.0013,764.0
90001A,ANTIQUE RASPBERRY FLOWER EARRINGS,0.0,11.0
90031,BILI NUT AND WOOD NECKLACE,0.0,52.0
90176D,DIAMANTE NECKLACE PURPLE,0.0833,12.0
21442,GREEN BIRDHOUSE DECORATION,0.0,978.0
90202D,PINK ENAMEL FLOWER HAIR TIE,0.1111,54.0
DCGS0044,HANDZ-OFF CAR FRESHENER,0.0,1.0
17011D,ORIGAMI ROSE INCENSE+FLOWER,0.0,209.0
37491A,YELLOW/PINK CERAMIC CANDLE HOLDER,0.0,19.0
84529A,PINK KNITTED KIDS RUCKSACK,0.0,50.0
84529C,YELLOW KNITTED KIDS RUCKSACK,0.0,78.0
47583B,SET OF 3 WICKER BASKET TEA AND CAKE,0.0,27.0
90141B,IVORY PENDANT TRIPLE SHELL NECKLACE,0.0,14.0
90199A,5 STRAND GLASS NECKLACE BLACK,0.0385,26.0
35816B,"ACRYLIC JEWEL ANGEL,BLUE",0.0,139.0
84609,TALL ROCOCO CANDLE HOLDER,0.0137,146.0
85018B,S/6 PAPER BOXES BLOSSOM IMAGES,0.0,15.0
85018A,S/6 PAPER BOXES ROMANTIC IMAGES,0.0,15.0
35963,FOLKART ZINC CLIP ON ANGEL WINGS,0.0,104.0
21090,SET/6 COLLAGE PAPER PLATES,0.0114,3155.0
84631,FRUIT TREE AND BIRDS WALL PLAQUE,0.0103,292.0
90129F,RED GLASS TASSLE BAG CHARM,0.0,87.0
90129D,AMBER GLASS TASSLE BAG CHARM,0.0,69.0
90129E,PURPLE GLASS TASSLE BAG CHARM,0.0,133.0
21001,ROSE DU SUD WASHBAG,0.0,149.0
35652,VINTAGE BEAD CHAISE LONG JEWEL BOX,0.0,18.0
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,0.0,124.0
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,0.0,386.0
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,0.0,294.0
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,0.3107,309.0
84616,SILVER ROCCOCO CHANDELIER,0.0526,76.0
16043,POP ART PUSH DOWN RUBBER,0.3145,3129.0
84450A,PINK RABBIT SITTING EASTER,0.0714,56.0
85189,HANGING BUTTERFLY  EGG,0.0296,1216.0
21209,MULTICOLOUR HONEYCOMB FAN,0.0244,1514.0
47013A,WINE BOTTLE DRESSING LT.BLUE,0.0,141.0
84927F,PSYCHEDELIC TILE HOOK,0.0175,342.0
90016B,GOLD/M.O.P PENDANT ORBIT NECKLACE,0.0,37.0
21208,PASTEL COLOUR HONEYCOMB FAN,0.0375,1121.0
84905,PINK BUTTERFLY C/COVER,0.0,10.0
21030,SPACE CADET RED,0.0,250.0
82069,BEECH WOOD P/FRAME,0.0,17.0
16052,TEATIME PUSH DOWN RUBBER,0.0275,874.0
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,0.0116,172.0
84876D,BLUE HEART COMPACT MIRROR,0.04,350.0
90182B,AMETHYST 3 BEAD DROP EARRINGS,0.0,6.0
21503,TOYBOX  WRAP,0.0006,1802.0
51020A,SUMMER FUN DESIGN SHOWER CAP,0.0015,1307.0
84942,KASHMIR FOLKART HEART DISHES,0.0,3.0
90003E,GREEN PAIR HEART HAIR SLIDES,0.1026,39.0
21475,SWEETHEART CREAM STEEL FOLDIN CHAIR,0.5,2.0
35974,S/6 CHRISTMAS TREE PLACE SETTING,0.0,1.0
35930,PINK HEART CHRISTMAS DECORATION,0.0,1.0
20802,SMALL GLASS SUNDAE DISH CLEAR,0.043,1115.0
90059F,DIAMANTE HAIR GRIP PACK/2 LT ROSE,0.1111,54.0
90124C,GREEN MURANO TWIST NECKLACE,0.0,22.0
90132,LIGHT TOPAZ TEAL/AQUA COL NECKLACE,0.0,8.0
84499,BLACK FLOWER CANDLE PLATE,0.0,326.0
84661B,BLACK SQUARE TABLE CLOCK,0.0,245.0
85131B,BEADED CRYSTAL HEART GREEN ON STICK,0.0,980.0
22266,EASTER DECORATION HANGING BUNNY,0.0027,2553.0
84706A,ENGLISH ROSE TABLE CLOCK,0.0,137.0
84732D,CUTE RABBIT CEATURE SCREEN,0.0,15.0
84732B,CUTE BIRD CEATURE SCREEN,0.0,28.0
21128,GOLD FISHING GNOME,0.0,129.0
21496,WOODLAND CREATURES  WRAP,0.5,50.0
20820,SILVER LOOKING MIRROR,0.0,14.0
37352,BIRD IN TREE MUG,0.0,4643.0
20759,CHRYSANTHEMUM POCKET BOOK,0.0,5782.0
90206A,GOLD DIAMANTE STAR BROOCH,0.0,16.0
22221,CAKE STAND LOVEBIRD 2 TIER PINK,0.0131,919.0
21095,SET/6 POSIES PAPER PLATES,0.0,303.0
72781,BLACK SILOUETTE CANDLE PLATE,0.0472,127.0
90020,FILIGREE DIAMANTE CHAIN,0.0,6.0
90043,COPPER AND BRASS BAG CHARM,0.0,10.0
85145,JARDIN ETCHED GLASS LARGE BELL JAR,0.0316,95.0
20667,CHERRY BLOSSOM PURSE,0.0,40.0
85131D,BEADED CRYSTAL HEART PINKON STICK,0.0,21.0
47343A,FUSCHIA FLOWER PURSE WITH BEADS,0.0,209.0
47344B,BLUE FLOWER DES PURSE,0.0,54.0
71510,SQUARE METAL CANDLEHOLDER BASE,0.0,177.0
90199D,5 STRAND GLASS NECKLACE AMBER,0.0,22.0
22251,BIRDHOUSE DECORATION MAGIC GARDEN,0.0146,1916.0
84801B,WHITE HYDRANGEA ART FLOWER,0.0,214.0
84877A,PINK ROUND COMPACT MIRROR,0.0,74.0
84856L,LARGE TAHITI BEACH BAG,0.0,239.0
90191,SILVER LARIAT 40CM,0.0,40.0
90079,VINTAGE ENAMEL & CRYSTAL NECKLACE,0.0,21.0
90064B,BLACK VINTAGE  CRYSTAL EARRINGS,0.0455,22.0
72225D,VANILLA SCENT CAKE CANDLE,0.0,962.0
72225C,LAVENDER SCENT CAKE CANDLE,0.0243,1974.0
35603B,S/16 BLACK SHINY/MAT BAUBLES,0.3243,74.0
44091C,MULTICOLOUR CRUSOE CHECK LAMPSHADE,0.0,61.0
21525,BEWARE OF THE CAT DOORMAT,0.5,4.0
21315,LARGE GLASS HEART TRINKET POT,1.0,4.0
TEST002,This is a test product.,0.0,1.0
35915B,BLUE KNITTED HEN,0.0,565.0
35915A,CREAM KNITTED HEN,0.0,288.0
84748,FOLK FELT HANGING MULTICOL GARLAND,0.0,1174.0
40002,WHITE BAMBOO RIBS LAMPSHADE,0.0714,84.0
71270,PHOTO CLIP LINE,0.0,378.0
84838,ANT WHITE HIGH RISE BIRD BOX,0.0,50.0
44092C,PURPLE/COPPER HANGING LAMPSHADE,0.0,25.0
48103,DOOR MAT KISS MY.......,0.0,13.0
20840,FRENCH FLORAL CUSHION COVER,0.1982,1105.0
84657,GREEN ROSE CUSHION COVER,0.0,247.0
35980B,RED TOP SCANDINAVIAN HEART,0.0,4.0
22092,BLUE PAISLEY TISSUE BOX,0.0,964.0
72129,COLUMBIAN CANDLE ROUND,0.0,75.0
35598C,WHITE CHRISTMAS TREE 60CM,0.0,3.0
40003,WHITE BAMBOO RIBS LAMPSHADE,0.0154,1169.0
79403,FROSTED WHITE BASE,0.0606,231.0
90016A,SILVER/M.O.P PENDANT ORBIT NECKLACE,0.0,29.0
